Desserts,Lychee Jalebi,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,yes,no,no,,no,no,no,Lychee dipped in jalebi batter and then deep fried to a crisp golden hue and then dunked in keshar flavoured sugar syrup,dish/Lychee_Jalebi.png
Main Course,Lasuniya Aloo,"lunch,dinner",Indian,North Indian,Vegetarian,person,no,yes,no,no,,no,no,no,"Garlic Potatoes is a delicious North-Indian recipe that is prepared with potatoes, garlic cloves and parsley.",dish/Lasuniya_Aloo.png
Desserts,Mango Dew,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,person,no,no,no,no,,no,no,no,"A blend of fresh mango pieces with rabadi and basundi, tinch of kewara flavoured with mango extract.",dish/Mango_Dew.png
Desserts,Moong Dal Sheero,"lunch,dinner,Hi-tea",Indian,"North Indian, Gujarati",Vegetarian,person,no,no,no,no,,no,yes,no,A rich Indian delicacy made with split yellow moong dal topped with dry fruit and served hot,dish/Moong_Dal_Sheero.png
Desserts,Malai Roll,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,yes,no,,no,yes,no,Special handmade malai Desserts stuffed with mewa and dry fruits,dish/Malai_Roll.png
Desserts,Badam Pista Akhrot Trio,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,yes,no,,no,yes,no,"A traditional sweet of dry fruits like American badam, pista and akhrot topped with lachha rabi and cooked in an oven",dish/Badam_Pista_Akhrot_Trio.png
Desserts,Keshariya Tikki,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,no,no,,no,no,no,Chena based Bengali Sweet served on a banana leaf,dish/Keshariya_Tikki.png
Desserts,Sitaphal Malaika,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,person,no,no,no,no,,no,no,no,Thinkened rabdi mixed with sitaphal pulp and topped with kesar,dish/Sitaphal_Malaika.png
Desserts,Strawberry Petha Paan,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,no,no,,no,yes,no,Petha stuffed with Strawberry and mawa in a shape of pan served on a bed of ice.,dish/Strawberry_Petha_Paan.png
Desserts,Lychee Petha Paan,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,no,no,,no,yes,no,Petha stuffed with Lychee and mawa in a shape of pan served on a bed of ice.,dish/Lychee_Petha_Paan.png
Desserts,Baked Mango Cham Cham,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,yes,no,,no,no,no,Hot Indian desserts based on mango and chhena,dish/Baked_Mango_Cham_Cham.png
Desserts,Angoori petha,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,no,no,,no,no,no,This sweet from Agra is made by dipping ash gourd or white pumpkin in a sweet saffron infused sugar syrup and finally topped with strands of saffron,dish/Angoori_petha.png
Desserts,Shahi Sweet Dew,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,person,no,no,no,no,,no,yes,no,A blend of rabdi and basundi with a piece of petha gulab jamun rasgoola and tinch of kewara,dish/Shahi_Sweet_Dew.png
Desserts,Achi Achi,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,no,no,,no,yes,no,Lychee stuffed with chena and dry fruit served in small kulhad,dish/Achi_Achi.png
Desserts,Orange in Orange,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,no,no,,no,no,no,Split orange slice topped on rasgoola soaked in flavoured milk,dish/Orange_in_Orange.png
Desserts,Pulpy Orange,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,no,yes,no,,no,no,no,Fresh orange rabdi with orange sponge rasgoola and orange slice,dish/Pulpy_Orange.png
Desserts,Live Keshariya Jilebi With Rabdi,"lunch,dinner,Hi-tea",Indian,North Indian,Vegetarian,pcs,no,yes,no,no,,yes,no,no,"Jilebi is made by deep-frying maida flour batter in pretzel or circular shapes, which are then soaked in keshar flavoured sugar syrup and topped with rabdi",dish/Live_Keshariya_Jilebi_With_Rabdi.png
Desserts,Live Keshariya Jilebi,"lunch,dinner,Hi-tea",Indian,"North Indian, Gujarati",Vegetarian,pcs,no,yes,no,no,,yes,no,no,"Jilebi is made by deep-frying maida flour batter in pretzel or circular shapes, which are then soaked in keshar flavoured sugar syrup.",dish/Live_Keshariya_Jilebi.png
